system,fault,instances,domains,effect_asr,lifecycle_accuracy
ToolAllowlist,RECEIPT_PRODUCER_MISMATCH,80,4,1.0,0.0
GatewayPolicy,RECEIPT_PRODUCER_MISMATCH,80,4,1.0,0.0
ProvenanceGateway,RECEIPT_PRODUCER_MISMATCH,80,4,1.0,0.0
EffectBoundPermit,RECEIPT_PRODUCER_MISMATCH,80,4,1.0,0.0
Gateway+Finality,RECEIPT_PRODUCER_MISMATCH,80,4,1.0,0.0
CONTINUITY,RECEIPT_PRODUCER_MISMATCH,80,4,0.0,1.0
PassThrough,MISSING_TRANSFORM_WITNESS,80,4,1.0,0.0
ToolAllowlist,MISSING_TRANSFORM_WITNESS,80,4,1.0,0.0
GatewayPolicy,MISSING_TRANSFORM_WITNESS,80,4,1.0,0.0
ProvenanceGateway,MISSING_TRANSFORM_WITNESS,80,4,1.0,0.0
EffectBoundPermit,MISSING_TRANSFORM_WITNESS,80,4,1.0,0.0
Gateway+Finality,MISSING_TRANSFORM_WITNESS,80,4,1.0,0.0
CONTINUITY,MISSING_TRANSFORM_WITNESS,80,4,0.0,1.0
PassThrough,INVALID_TRANSFORM_WITNESS,80,4,1.0,0.0
ToolAllowlist,INVALID_TRANSFORM_WITNESS,80,4,1.0,0.0
GatewayPolicy,INVALID_TRANSFORM_WITNESS,80,4,1.0,0.0
ProvenanceGateway,INVALID_TRANSFORM_WITNESS,80,4,1.0,0.0
EffectBoundPermit,INVALID_TRANSFORM_WITNESS,80,4,1.0,0.0
Gateway+Finality,INVALID_TRANSFORM_WITNESS,80,4,1.0,0.0
CONTINUITY,INVALID_TRANSFORM_WITNESS,80,4,0.0,1.0
PassThrough,RELEASE_PREDICATE_BYPASS,80,4,1.0,0.0
ToolAllowlist,RELEASE_PREDICATE_BYPASS,80,4,1.0,0.0
GatewayPolicy,RELEASE_PREDICATE_BYPASS,80,4,1.0,0.0
ProvenanceGateway,RELEASE_PREDICATE_BYPASS,80,4,0.0,1.0
EffectBoundPermit,RELEASE_PREDICATE_BYPASS,80,4,1.0,0.0
Gateway+Finality,RELEASE_PREDICATE_BYPASS,80,4,0.0,1.0
CONTINUITY,RELEASE_PREDICATE_BYPASS,80,4,0.0,1.0
PassThrough,RELEASE_VALUE_SUBSTITUTION,80,4,1.0,0.0
ToolAllowlist,RELEASE_VALUE_SUBSTITUTION,80,4,1.0,0.0
GatewayPolicy,RELEASE_VALUE_SUBSTITUTION,80,4,1.0,0.0
ProvenanceGateway,RELEASE_VALUE_SUBSTITUTION,80,4,0.0,1.0
EffectBoundPermit,RELEASE_VALUE_SUBSTITUTION,80,4,1.0,0.0
Gateway+Finality,RELEASE_VALUE_SUBSTITUTION,80,4,0.0,1.0
CONTINUITY,RELEASE_VALUE_SUBSTITUTION,80,4,0.0,1.0
PassThrough,EXPIRED_RELEASE,80,4,1.0,0.0
ToolAllowlist,EXPIRED_RELEASE,80,4,1.0,0.0
GatewayPolicy,EXPIRED_RELEASE,80,4,1.0,0.0
ProvenanceGateway,EXPIRED_RELEASE,80,4,0.0,1.0
EffectBoundPermit,EXPIRED_RELEASE,80,4,1.0,0.0
Gateway+Finality,EXPIRED_RELEASE,80,4,0.0,1.0
CONTINUITY,EXPIRED_RELEASE,80,4,0.0,1.0
PassThrough,SUBJECT_SUBSTITUTION,80,4,1.0,0.0
ToolAllowlist,SUBJECT_SUBSTITUTION,80,4,1.0,0.0
GatewayPolicy,SUBJECT_SUBSTITUTION,80,4,1.0,0.0
ProvenanceGateway,SUBJECT_SUBSTITUTION,80,4,1.0,0.0
EffectBoundPermit,SUBJECT_SUBSTITUTION,80,4,0.0,1.0
Gateway+Finality,SUBJECT_SUBSTITUTION,80,4,0.0,1.0
CONTINUITY,SUBJECT_SUBSTITUTION,80,4,0.0,1.0
PassThrough,POST_PERMIT_ACTION_SUBSTITUTION,80,4,1.0,0.0
ToolAllowlist,POST_PERMIT_ACTION_SUBSTITUTION,80,4,1.0,0.0
GatewayPolicy,POST_PERMIT_ACTION_SUBSTITUTION,80,4,1.0,0.0
ProvenanceGateway,POST_PERMIT_ACTION_SUBSTITUTION,80,4,1.0,0.0
EffectBoundPermit,POST_PERMIT_ACTION_SUBSTITUTION,80,4,0.0,1.0
Gateway+Finality,POST_PERMIT_ACTION_SUBSTITUTION,80,4,0.0,1.0
CONTINUITY,POST_PERMIT_ACTION_SUBSTITUTION,80,4,0.0,1.0
PassThrough,REVOKED_GRANT,80,4,1.0,0.0
ToolAllowlist,REVOKED_GRANT,80,4,1.0,0.0
GatewayPolicy,REVOKED_GRANT,80,4,1.0,0.0
ProvenanceGateway,REVOKED_GRANT,80,4,1.0,0.0
EffectBoundPermit,REVOKED_GRANT,80,4,0.0,1.0
Gateway+Finality,REVOKED_GRANT,80,4,0.0,1.0
CONTINUITY,REVOKED_GRANT,80,4,0.0,1.0
PassThrough,CONTRACT_GUARANTEE_VIOLATION,80,4,1.0,0.0
ToolAllowlist,CONTRACT_GUARANTEE_VIOLATION,80,4,1.0,0.0
GatewayPolicy,CONTRACT_GUARANTEE_VIOLATION,80,4,1.0,0.0
ProvenanceGateway,CONTRACT_GUARANTEE_VIOLATION,80,4,1.0,0.0
EffectBoundPermit,CONTRACT_GUARANTEE_VIOLATION,80,4,1.0,0.0
Gateway+Finality,CONTRACT_GUARANTEE_VIOLATION,80,4,1.0,0.0
CONTINUITY,CONTRACT_GUARANTEE_VIOLATION,80,4,0.0,1.0
